OSOURCE,STATE,ZIP,MAILCODE,NOEXCH,MDMAUD,CLUSTER,AGEFLAG,HOMEOWNR,GENDER,DATASRCE,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
ADR,FL,32707,A,0,XXXX,11,,U,F,0,L,D,B,S,1
STR,CA,90808,A,0,XXXX,2,E,H,M,3,L,E,A,U,1
ESN,other,58502,A,0,XXXX,31,E,U,M,2,L,F,C,C,3
IWD,CA,94538,A,0,XXXX,20,,H,F,1,L,F,A,S,2
HOS,other,39301,A,0,XXXX,32,,U,F,2,L,G,C,C,3
OD2,other,85304,A,0,XXXX,2,E,H,M,3,L,F,A,U,1
WKB,GA,30622,A,0,XXXX,34,E,U,F,2,L,G,C,T,1
GRI,IN,46041,A,0,XXXX,36,E,U,M,3,L,F,D,T,2
CFI,other,52401,A,0,XXXX,44,E,H,F,3,L,F,C,R,2
HCC,other,55340,A,0,XXXX,35,E,H,M,2,L,E,A,T,1
IMA,other,59337,A,0,XXXX,53,,H,F,2,L,G,D,R,3
IMP,other,37174,A,0,XXXX,18,E,H,M,3,L,E,C,S,2
SGI,WI,54220,A,0,XXXX,27,E,H,M,3,L,F,C,C,2
MAY,other,40759,A,0,XXXX,43,E,H,M,2,L,G,D,R,2
TVH,GA,30088,A,0,XXXX,12,,U,F,0,L,F,A,S,1
L04,FL,33325,A,0,XXXX,18,E,H,F,2,L,F,A,S,2
SYN,other,38127,A,0,XXXX,30,E,H,F,2,L,F,B,C,3
MCC,TX,77651,A,0,XXXX,30,E,H,M,3,L,F,B,C,3
L25,other,45365,A,0,XXXX,46,E,H,M,3,L,F,D,R,2
FRC,CA,90670,A,0,XXXX,10,,U,F,0,L,G,A,U,4
CAW,FL,32119,A,0,XXXX,29,,U,M,0,L,F,B,C,2
AMB,WA,98274,A,0,XXXX,40,,U,F,0,L,E,C,R,2
ADM,IL,60632,A,0,XXXX,8,I,H,F,3,L,F,A,U,3
IMP,other,40272,A,0,XXXX,16,E,H,M,1,L,G,B,S,2
WIG,CA,95672,A,0,XXXX,35,,U,F,0,L,D,B,T,1
DEL,other,68069,A,0,XXXX,44,E,H,M,2,L,F,B,R,2
CWR,other,67530-,A,0,XXXX,36,E,H,F,3,L,E,D,T,2
PRV,MI,48313,A,0,XXXX,17,E,U,F,3,L,G,A,S,2
VFW,other,88101,A,0,XXXX,40,E,H,F,3,L,G,D,R,2
STL,IL,60025,A,0,XXXX,13,E,H,F,2,L,E,A,S,1
GPB,TX,77510,A,0,XXXX,40,E,H,F,2,L,F,A,T,2
HOS,CA,95324,A,0,XXXX,44,E,H,F,3,L,E,C,R,2
GUR,other,38305,A,0,XXXX,34,E,H,M,3,L,G,C,T,1
CNT,IN,47802,A,0,XXXX,40,E,H,F,2,L,G,C,T,2
AGR,FL,33444,A,0,XXXX,13,E,H,F,3,L,E,B,S,1
GPS,WA,98236,A,0,XXXX,42,I,U,F,2,L,F,C,R,1
ARG,MI,48823,A,0,XXXX,21,,U,F,0,L,G,B,S,3
FOR,other,70043,A,0,XXXX,30,,U,F,0,L,E,B,C,3
SYN,TX,76022-,B,0,XXXX,23,E,U,M,1,L,G,A,C,1
HCC,other,74107,A,0,XXXX,30,E,H,M,3,L,F,B,C,3
MSD,MI,49855,A,0,XXXX,41,E,H,F,3,L,F,C,T,3
L01,other,73701,A,0,XXXX,41,E,U,M,1,L,D,C,T,3
MAD,CA,90266,A,0,XXXX,3,E,H,F,3,L,E,A,U,1
ESN,MI,49709,A,0,XXXX,53,,U,M,3,L,F,D,R,3
,other,85260,A,0,XXXX,34,E,H,M,3,L,F,A,T,1
L03,MI,49345,A,0,XXXX,39,E,H,M,2,L,G,B,T,2
MBC,WI,54174,A,0,XXXX,53,,U,F,0,L,D,D,R,3
WKB,other,97496,A,0,XXXX,36,E,H,F,2,L,E,C,T,2
IMP,IN,47711,A,0,XXXX,30,,H,M,2,L,E,B,C,3
ALZ,WA,98422,A,0,XXXX,12,,U,M,0,L,G,A,S,1
SYC,FL,33162,A,0,XXXX,8,E,U,F,2,L,F,A,U,3
LEO,MO,63115,A,0,XXXX,10,,H,F,3,L,F,A,U,4
IMA,other,85361,A,0,XXXX,46,,H,M,3,L,F,A,R,2
IMP,other,85215,A,0,XXXX,40,E,H,M,3,L,E,A,R,2
BHG,TX,78151,A,0,XXXX,52,E,U,F,2,L,E,D,R,3
L06,GA,31326,A,0,XXXX,49,,U,F,0,L,F,B,R,2
SSS,CA,92256,A,0,XXXX,53,,U,Other,3,L,E,A,R,3
DBL,other,97008,A,0,XXXX,40,E,H,M,2,L,E,B,R,2
HCC,MI,49107,A,0,XXXX,36,,H,F,2,L,F,C,T,2
CSM,FL,33465,A,1,XXXX,20,,U,F,0,L,G,B,S,2
L01,GA,30577,A,0,XXXX,36,,U,F,0,L,E,D,T,2
MCC,MI,48025,A,0,XXXX,13,E,H,F,3,L,D,A,S,1
NAS,IL,60431,A,0,XXXX,25,,U,F,0,L,F,A,C,2
DCD,other,89103-,A,0,XXXX,18,E,H,F,2,L,F,B,S,2
L16,FL,34109,A,0,XXXX,23,,U,F,0,L,G,C,C,1
PBL,WA,98253,A,0,XXXX,23,E,H,F,3,L,F,C,C,1
AML,WI,53151,A,0,XXXX,12,,H,M,3,L,E,B,S,1
ASC,FL,32514,A,0,XXXX,11,E,H,F,1,L,E,B,S,1
LKE,WI,54220,A,0,XXXX,30,E,H,M,2,L,F,C,C,3
AHR,other,87106,A,0,XXXX,11,E,H,M,3,L,G,B,S,1
LHJ,NC,28052,A,0,XXXX,41,E,H,F,3,L,F,B,T,3
RMG,other,29625,A,0,XXXX,38,E,H,M,3,L,F,C,T,2
WRG,MO,63361,A,0,XXXX,45,E,H,F,1,L,F,D,R,2
USB,CA,92604,A,0,XXXX,14,E,H,M,2,L,E,A,S,1
LIS,IN,47201,A,0,XXXX,49,I,U,F,0,L,E,C,R,2
SGI,FL,33708,A,0,XXXX,27,I,U,F,0,L,G,A,C,2
COK,CA,94545,A,0,XXXX,36,E,U,F,2,L,F,A,T,2
CWR,NC,27704,A,0,XXXX,28,E,H,F,3,L,F,B,C,2
TX2,other,71730,A,0,XXXX,38,E,U,F,3,L,F,D,T,2
DCD,FL,32792,A,0,XXXX,17,E,H,M,3,L,F,B,S,2
OMH,CA,90278,A,0,XXXX,3,,U,M,0,L,D,A,U,1
ASC,WA,99224,A,0,XXXX,20,E,U,F,1,L,E,B,S,2
SSS,other,85044,A,0,XXXX,14,,U,F,0,L,F,A,S,1
HOS,WI,53233,A,0,XXXX,31,E,H,F,3,L,G,B,C,3
LIS,other,97321,A,0,XXXX,27,,H,Other,2,L,F,C,C,2
LKE,IL,61032,A,0,XXXX,38,E,H,F,3,L,E,D,T,2
IMP,FL,33326,A,0,XXXX,34,,U,F,0,L,E,A,T,1
ESN,IL,60091,A,0,XXXX,13,E,H,M,3,L,G,A,S,1
NWD,IL,60611,A,0,XXXX,1,,H,M,3,L,F,A,U,1
RED,other,29414,A,0,XXXX,3,E,H,F,3,L,F,B,U,1
BRE,NC,27104,A,0,XXXX,24,E,H,F,3,L,E,B,C,1
APP,FL,33301,A,0,XXXX,3,E,H,F,3,L,G,A,U,1
DCD,MI,48082,A,0,XXXX,16,E,H,M,2,L,D,A,S,2
LHJ,CA,95827,A,0,XXXX,20,E,U,F,3,L,G,B,S,2
BHG,MI,48219,A,0,XXXX,10,E,H,F,2,L,F,A,U,4
ABC,CA,90210-,A,0,XXXX,1,,U,F,0,L,F,A,U,1
MON,IL,61109,A,0,XXXX,3,,U,M,0,L,F,B,U,1
IMP,other,73801,A,0,XXXX,39,E,U,M,1,L,G,D,T,2
FWF,MI,49346,A,0,XXXX,40,E,U,F,2,L,G,D,T,2
L16,other,37208,A,0,XXXX,32,E,H,M,3,L,E,B,C,3
MAT,other,67740,A,0,XXXX,45,,U,F,1,L,F,D,R,2
PV3,other,66103,A,0,XXXX,8,E,H,F,3,L,G,B,U,3
PLN,other,97532,A,0,XXXX,46,E,H,M,2,L,G,C,R,2
MBC,other,73045,A,0,XXXX,49,I,H,F,1,L,G,B,R,2
MBC,CA,92346-,A,0,XXXX,18,E,H,M,3,L,E,A,S,2
SYC,WA,98281,A,0,XXXX,42,I,U,F,0,L,G,C,R,1
AMB,IN,47960,A,0,XXXX,46,E,U,F,2,L,E,D,R,2
FCR,GA,30327,A,0,XXXX,13,E,H,M,3,L,F,A,S,1
STR,CA,95695,A,0,XXXX,27,E,H,F,3,L,G,B,C,2
MBC,TX,77346,A,0,XXXX,35,E,H,F,3,L,D,A,T,1
KNG,IL,60614,A,0,XXXX,3,E,H,F,3,L,F,A,U,1
AMB,FL,33611,A,0,XXXX,40,,U,Other,3,L,D,A,R,2
SFH,CA,93654,A,0,XXXX,42,E,H,M,3,L,F,B,R,1
BHG,CA,95240,A,0,XXXX,28,E,H,F,3,L,E,B,C,2
HAM,CA,92648,A,0,XXXX,14,,U,M,0,L,F,A,S,1
ALS,IL,60647,A,0,XXXX,10,E,U,M,3,L,E,A,U,4
HCC,MI,48197-,A,0,XXXX,35,E,U,F,2,L,E,A,T,1
CFI,TX,78957,A,0,XXXX,45,E,U,F,3,L,F,D,R,2
AGR,TX,75044,B,0,XXXX,14,E,H,F,3,L,F,A,S,1
NYH,other,80004,A,0,XXXX,12,,U,F,0,L,F,B,S,1
LIS,IN,47443,A,0,XXXX,43,,U,F,0,L,F,D,R,2
CNT,CA,90630,A,0,XXXX,2,E,H,M,3,L,F,A,U,1
SUN,other,36078,A,0,XXXX,51,E,H,M,2,L,F,D,R,3
DRK,IL,60611,A,0,XXXX,1,E,H,F,3,L,F,A,U,1
CNT,TX,75070,A,0,XXXX,35,I,U,M,0,L,F,A,T,1
AGR,other,72370,A,0,XXXX,51,E,H,M,2,L,F,C,R,3
MBC,MI,48335,A,0,XXXX,14,,U,F,0,L,E,A,S,1
HOW,IL,60621,A,0,XXXX,10,E,H,F,2,L,F,A,U,4
HHH,other,87123,A,0,XXXX,25,,U,F,0,L,F,B,C,2
IMP,FL,32347,A,0,XXXX,47,I,U,M,2,L,G,D,R,2
TX2,TX,79705,A,0,XXXX,27,,U,F,0,L,F,C,C,2
L01,FL,33704,A,0,XXXX,9,E,H,M,3,L,G,A,U,3
MBC,other,57103,A,0,XXXX,49,,U,F,2,L,E,C,R,2
BRY,TX,77640,A,0,XXXX,41,E,H,F,2,L,F,B,T,3
ARB,IL,60120,A,0,XXXX,24,E,H,M,2,L,F,A,C,1
L01,IL,60087,A,0,XXXX,18,E,H,F,3,L,F,A,S,2
DEL,IL,60641,A,0,XXXX,7,E,H,M,2,L,G,A,U,2
L01,other,85206,A,0,XXXX,29,E,H,M,3,L,F,A,C,2
AVN,CA,94552,A,0,XXXX,14,I,H,F,2,L,G,A,S,1
STR,NC,28803,A,0,XXXX,38,E,U,F,1,L,G,C,T,2
L02,TX,76053,A,0,XXXX,28,E,H,F,2,L,F,A,C,2
MB1,GA,30044,A,0,XXXX,18,,H,M,2,L,D,A,S,2
L04,other,37211,A,0,XXXX,18,E,H,F,3,L,G,B,S,2
L01,other,37405,A,0,XXXX,17,,U,F,1,L,E,B,S,2
LHJ,GA,31404,A,0,XXXX,28,E,H,F,3,L,G,B,C,2
HOW,other,42528-,A,0,XXXX,51,,U,M,0,L,F,D,R,3
STR,other,42102,A,0,XXXX,31,E,H,F,2,L,G,C,C,3
RMG,other,85745,A,0,XXXX,12,,H,M,2,L,G,B,S,1
AHC,other,59801,A,0,XXXX,25,E,H,F,3,L,G,C,C,2
HER,other,84404,A,0,XXXX,21,E,H,F,2,L,G,B,S,3
RPH,CA,90025,A,0,XXXX,3,E,H,F,1,L,E,A,U,1
SPN,other,74960,A,0,XXXX,43,I,H,F,3,L,E,D,R,2
DRK,WA,98620,A,0,XXXX,49,E,H,M,2,L,D,D,R,2
WIG,IL,61101,A,0,XXXX,31,I,U,F,2,L,G,B,C,3
L16,TX,78240,A,0,XXXX,12,E,H,F,2,L,G,B,S,1
DNA,other,55442,A,0,XXXX,40,,U,F,3,L,D,A,R,2
NWN,other,37922,A,0,XXXX,34,E,H,F,1,L,F,B,T,1
DUR,CA,90606,A,0,XXXX,19,,U,F,0,L,E,A,S,2
IMA,other,74857,A,0,XXXX,49,E,H,F,2,L,F,B,R,2
FRC,WI,53717,A,0,XXXX,14,E,H,F,3,L,F,B,S,1
TRN,other,37865,A,0,XXXX,39,E,H,F,3,L,F,B,T,2
BHG,NC,28729,A,0,XXXX,45,,H,M,2,L,E,C,R,2
IMP,other,11554,A,0,XXXX,23,,U,F,1,L,D,A,C,1
FCR,FL,33919,A,0,XXXX,26,E,H,M,3,L,G,B,C,2
ADD,NC,27883,A,0,XXXX,51,I,U,F,3,L,F,C,R,3
WKB,FL,33952,B,0,XXXX,33,,U,F,0,L,F,C,C,3
DON,NC,27573,A,0,XXXX,47,E,U,F,3,L,G,D,R,2
MDC,other,29154,A,0,XXXX,41,,U,M,3,L,E,C,T,3
STL,MO,63123,A,0,XXXX,20,E,H,M,3,L,F,A,S,2
CWR,TX,76203,A,0,XXXX,17,E,U,M,2,L,F,A,S,2
AGR,other,67860,A,0,XXXX,49,E,H,F,3,L,G,D,R,2
STK,TX,78520,A,0,XXXX,11,E,H,F,2,L,F,C,S,1
USB,GA,30907,A,0,XXXX,24,E,H,F,3,L,D,B,C,1
TX2,TX,79602,A,0,XXXX,30,I,U,M,2,L,F,C,C,3
DEL,CA,93657,A,0,XXXX,46,I,U,M,0,L,F,B,R,2
BRY,CA,93505,A,0,XXXX,49,E,H,F,3,L,E,B,R,2
FOR,GA,30213,A,0,XXXX,40,E,H,F,3,L,E,A,T,2
LIS,FL,32669,A,0,XXXX,49,E,H,F,2,L,D,C,R,2
STR,TX,75074,A,0,XXXX,12,E,H,F,3,L,E,A,S,1
ASC,other,86301-,A,0,XXXX,40,E,U,M,2,L,E,C,R,2
AGR,other,71263,A,0,XXXX,50,,U,F,0,L,F,D,R,3
,FL,32439,A,0,XXXX,43,E,U,M,3,L,F,D,R,2
CSM,CA,92679,A,0,XXXX,35,E,H,F,3,L,F,A,T,1
L04,TX,77077,A,0,XXXX,2,E,H,F,3,L,F,A,U,1
MM1,IL,62040,A,0,XXXX,30,E,H,F,3,L,G,A,C,3
AML,other,55407,A,0,XXXX,7,,U,M,0,L,E,A,U,2
ESN,CA,95993,A,0,XXXX,40,E,H,F,2,L,G,C,T,2
LHJ,WI,54868,A,0,XXXX,36,E,H,F,2,L,F,D,T,2
LHJ,FL,34461,A,0,XXXX,37,,U,F,1,L,G,C,T,2
MBC,IL,60139,A,0,XXXX,18,E,H,M,3,L,E,A,S,2
HAN,other,80917,A,0,XXXX,25,E,H,M,3,L,G,B,C,2
DNA,FL,33184,A,0,XXXX,19,E,H,M,3,L,D,A,S,2
DNA,other,89119,A,0,XXXX,7,E,U,M,3,L,F,B,U,2
SPN,other,84117,A,0,XXXX,9,,U,F,0,L,D,B,U,3
LIF,other,37303-,A,0,XXXX,39,E,U,F,3,L,G,D,T,2
L04,other,41139,A,0,XXXX,49,E,U,F,1,L,F,B,R,2
NHB,other,97080,A,0,XXXX,18,,U,F,0,L,G,B,S,2
SYN,CA,92345,A,0,XXXX,40,I,U,F,1,L,E,A,T,2
FRC,CA,94015,A,0,XXXX,2,E,H,F,3,L,F,A,U,1
PCL,WA,98311,A,0,XXXX,11,I,U,F,0,L,E,C,S,1
NEW,TX,78504,A,0,XXXX,41,E,H,M,2,L,F,B,T,3
APP,CA,94612,A,0,XXXX,4,I,U,F,0,L,F,A,U,2
LEO,other,40310,A,0,XXXX,49,,U,M,2,L,F,D,R,2
L04,other,36106,A,0,XXXX,24,,U,F,0,L,F,B,C,1
HHH,WI,54726,A,0,XXXX,51,,H,F,2,L,F,C,R,3
DNA,MO,63119,A,0,XXXX,5,E,U,F,3,L,D,A,U,2
HOS,other,89130,A,0,XXXX,40,E,H,F,3,L,E,B,T,2
FRC,IL,61103,A,0,XXXX,21,E,H,F,3,L,E,B,S,3
ACS,other,67010,A,0,XXXX,36,,H,F,3,L,E,B,T,2
IMP,TX,77331-,A,0,XXXX,40,,U,M,2,L,F,D,R,2
CNT,TX,77004-,A,0,XXXX,45,E,U,F,2,L,E,A,R,2
LHJ,other,55901,A,0,XXXX,22,E,H,M,3,L,E,C,C,1
BHG,other,85239-,A,0,XXXX,52,E,H,F,2,L,F,C,R,3
PCL,CA,91770,A,0,XXXX,8,I,H,Other,2,L,E,A,U,3
DNA,GA,31404,A,0,XXXX,32,E,H,F,3,L,D,B,C,3
AMB,IL,61938,A,0,XXXX,41,,U,F,0,L,F,D,T,3
APP,GA,30117,A,0,XXXX,40,E,H,M,3,L,F,C,T,2
ESN,other,72207,A,0,XXXX,22,E,H,F,1,L,F,B,C,1
BOA,CA,94558,A,0,XXXX,24,E,H,M,3,L,F,A,C,1
WLW,TX,78609,A,0,XXXX,48,E,H,M,3,L,F,D,R,2
QNT,FL,33709,A,0,XXXX,8,E,H,F,2,L,F,A,U,3
MCC,other,37686,A,0,XXXX,49,E,H,F,3,L,F,B,R,2
MCC,FL,34476,A,0,XXXX,28,E,H,F,1,L,E,C,C,2
MBC,CA,91362,A,0,XXXX,13,E,H,M,3,L,E,A,S,1
LIF,other,80526,A,0,XXXX,24,E,H,F,2,L,G,C,C,1
ESN,TX,77014,A,0,XXXX,25,E,U,M,2,L,G,A,C,2
MCC,NC,28311,A,0,XXXX,27,,U,F,0,L,F,B,C,2
FDP,other,59729,A,0,XXXX,29,,U,F,0,L,G,D,C,2
DCD,other,29928,A,0,XXXX,34,,U,F,0,L,E,C,T,1
ENQ,TX,77082,A,0,XXXX,12,E,H,M,3,L,F,A,S,1
USB,other,40337,A,0,XXXX,51,I,U,F,3,L,G,D,R,3
IMP,FL,32303,A,0,XXXX,11,E,H,F,3,L,F,B,S,1
IMP,FL,33431,A,0,XXXX,14,,H,M,1,L,F,B,S,1
MCO,MI,48178,A,0,XXXX,40,E,H,M,3,L,F,A,T,2
AMB,other,29325,A,0,XXXX,36,,U,F,2,L,E,C,T,2
EPL,CA,91206,A,0,XXXX,3,,U,F,0,L,F,A,U,1
GRI,CA,95621,A,0,XXXX,5,E,H,F,3,L,E,B,U,2
IMA,CA,90503,A,0,XXXX,1,I,U,F,0,L,F,A,U,1
SYN,other,37830,A,0,XXXX,40,E,H,M,3,L,F,B,T,2
DEL,NC,27858,A,0,XXXX,39,E,H,F,3,L,F,C,T,2
DUR,IL,60516,A,0,XXXX,24,E,H,M,3,L,G,A,C,1
HHH,CA,91706,A,0,XXXX,10,E,H,M,3,L,F,A,U,4
STV,MI,49015,A,0,XXXX,27,E,U,F,2,L,G,C,C,2
MIC,IL,60462-,A,0,XXXX,12,E,H,F,2,L,F,A,S,1
CNT,IL,61530,A,0,XXXX,43,E,H,F,3,L,F,B,R,2
L02,other,35235,A,0,XXXX,49,I,U,F,0,L,F,B,R,2
IMA,FL,33196,A,0,XXXX,19,I,U,F,0,L,E,A,S,2
BHG,CA,91803,A,0,XXXX,6,E,H,M,1,L,F,A,U,2
STV,CA,90042,A,0,XXXX,6,,U,M,0,L,F,A,U,2
,other,66216,A,0,XXXX,12,E,H,M,3,L,E,B,S,1
MCC,other,85742,A,0,XXXX,18,,U,F,0,L,F,B,S,2
FRC,CA,92116,A,0,XXXX,4,I,U,F,0,L,G,A,U,2
HHH,CA,95687,A,0,XXXX,24,,U,F,0,L,F,A,C,1
AML,IN,46914,A,0,XXXX,49,E,H,M,2,L,G,D,R,2
NCD,NC,28607,A,0,XXXX,22,E,H,M,3,L,G,D,C,1
L25,FL,33321,A,0,XXXX,9,E,H,M,3,L,F,A,U,3
WKB,other,57783,A,0,XXXX,37,,U,F,3,L,D,D,T,2
RKB,FL,33156,A,0,XXXX,11,E,H,M,3,L,F,A,S,1
NCD,NC,28501,A,0,XXXX,41,,U,F,2,L,F,C,T,3
LAK,MO,63028,A,0,XXXX,36,E,U,F,2,L,F,A,T,2
SYN,CA,93304,A,0,XXXX,27,E,H,F,2,L,F,B,C,2
ASD,other,85743,A,0,XXXX,35,,U,F,0,L,G,B,T,1
BOA,GA,30072,A,0,XXXX,22,E,H,M,3,L,G,A,C,1
KIP,TX,75165,A,0,XXXX,49,E,H,F,3,L,F,A,R,2
DEL,other,97034,A,0,XXXX,11,,U,M,0,L,E,B,S,1
STR,NC,28805,A,0,XXXX,37,E,H,M,3,L,F,C,T,2
AGR,MO,63304,A,0,XXXX,35,E,H,F,3,L,G,A,T,1
GRI,other,38225-,A,0,XXXX,45,E,H,M,2,L,G,D,R,2
ENQ,GA,31774,A,0,XXXX,48,I,U,F,0,L,D,D,R,2
ASC,GA,30039,A,0,XXXX,24,,H,F,3,L,F,A,C,1
IMP,FL,32501,A,0,XXXX,26,,U,F,0,L,F,B,C,2
LKE,other,71251,A,0,XXXX,22,E,H,M,2,L,E,D,C,1
SGI,GA,30506,A,0,XXXX,40,I,U,F,0,L,F,C,T,2
SYC,CA,94513-,A,0,XXXX,35,E,H,F,2,L,F,A,T,1
PBL,CA,90621,A,0,XXXX,8,,U,F,0,L,G,A,U,3
KNG,IN,47949,A,0,XXXX,51,,U,F,0,L,F,D,R,3
OXM,CA,93927-,A,0,XXXX,42,,U,F,3,L,F,B,R,1
IMP,other,29649,A,0,XXXX,35,E,H,F,2,L,E,C,T,1
STR,WA,98374,A,0,XXXX,37,I,U,F,0,L,G,A,T,2
DNA,IN,46142,A,0,XXXX,12,E,H,M,3,L,F,B,S,1
LVT,other,59330,A,0,XXXX,41,E,U,M,2,L,F,D,T,3
PRV,CA,90650,A,0,XXXX,6,E,U,F,1,L,F,A,U,2
L01,CA,92823,A,0,XXXX,13,,U,F,0,L,G,A,S,1
ALZ,CA,91754,A,0,XXXX,2,I,H,M,3,L,F,A,U,1
MTR,TX,77566,A,0,XXXX,35,E,H,M,3,L,D,A,T,1
TX2,other,55125,A,0,XXXX,17,E,U,F,3,L,F,A,S,2
PV3,CA,92583-,A,0,XXXX,5,E,H,F,3,L,G,A,U,2
FRC,CA,91105,A,0,XXXX,13,E,H,F,2,L,E,A,S,1
CSM,other,96205,A,0,XXXX,39,E,U,F,2,L,F,A,T,2
AML,IL,60433,A,0,XXXX,30,E,U,M,2,L,F,A,C,3
WKB,CA,92021,A,0,XXXX,20,,U,F,0,L,F,A,S,2
SYN,TX,76548-,A,0,XXXX,40,E,U,F,2,L,G,C,R,2
PLU,other,84761,A,0,XXXX,46,E,U,F,2,L,E,D,R,2
ESN,CA,94903,A,0,XXXX,13,,U,F,0,L,F,A,S,1
SYN,other,83814,A,0,XXXX,30,,U,F,0,L,F,C,C,3
LIF,other,55113,A,0,XXXX,46,E,U,F,2,L,F,A,R,2
ARG,other,80120,A,0,XXXX,14,E,H,F,1,L,E,B,S,1
IMP,TX,77546,A,0,XXXX,24,,H,M,3,L,E,A,C,1
ADD,CA,95604,A,0,XXXX,41,I,U,F,0,L,G,B,T,3
L01,TX,79065,A,0,XXXX,41,E,H,F,2,L,F,D,T,3
APP,other,42437-,A,0,XXXX,22,E,U,F,2,L,F,D,C,1
AVN,MO,65656,A,0,XXXX,51,,H,F,2,L,G,D,R,3
MBC,WA,98408,A,0,XXXX,16,,H,F,2,L,F,A,S,2
EPS,CA,95687,A,0,XXXX,27,E,H,M,3,L,G,A,C,2
LIS,WI,54216,A,0,XXXX,46,E,U,M,3,L,F,D,R,2
STR,GA,30349,A,0,XXXX,20,E,H,M,2,L,F,A,S,2
L01,other,86412,A,0,XXXX,41,E,H,F,2,L,E,C,T,3
KNG,other,85256-,A,0,C1CM,30,,U,F,2,L,G,A,C,3
IMP,NC,27203,A,0,XXXX,49,,H,F,3,L,E,B,R,2
AMB,other,68901-,A,0,XXXX,36,,H,M,3,L,F,D,T,2
L03,CA,93555,A,0,XXXX,35,E,H,M,3,L,G,B,T,1
MBC,other,97132-,A,0,XXXX,22,E,H,F,3,L,E,B,C,1
BHG,other,84088,A,0,XXXX,18,I,H,Other,1,L,G,B,S,2
L04,IL,61088,A,0,XXXX,49,E,H,F,2,L,E,B,R,2
DTR,other,55306,A,0,XXXX,40,,U,F,0,L,F,A,R,2
SYN,CA,93430,A,0,XXXX,23,E,H,M,3,L,F,C,C,1
ESN,IL,60194,A,0,XXXX,22,E,H,F,2,L,E,A,C,1
FCR,FL,32934,A,0,XXXX,16,E,H,M,3,L,E,B,S,2
TPS,CA,94401,A,0,XXXX,1,I,U,F,0,L,F,A,U,1
DEL,CA,95762,A,0,XXXX,35,,U,F,0,L,F,B,T,1
WKB,NC,27370,A,0,XXXX,39,E,H,F,3,L,D,B,T,2
ALZ,GA,30558,A,0,XXXX,43,E,H,M,3,L,F,C,R,2
BAN,CA,94558,A,0,XXXX,26,,U,F,0,L,G,A,C,2
MBC,WA,98118,A,0,XXXX,12,,U,F,0,L,F,A,S,1
MBC,TX,77089,A,0,XXXX,18,E,H,M,3,L,F,A,S,2
PV3,FL,33431,A,0,XXXX,23,E,H,F,3,L,E,B,C,1
SYN,WI,54901,A,0,XXXX,20,E,U,F,3,L,G,B,S,2
SYN,FL,33565,A,0,XXXX,40,,U,F,0,L,F,A,T,2
CRN,TX,78218,A,0,XXXX,16,E,H,F,3,L,E,B,S,2
LHJ,WI,53404,A,0,XXXX,12,E,H,F,2,L,F,B,S,1
APP,WI,54449,A,0,XXXX,41,E,U,F,3,L,D,C,T,3
STR,other,29302,A,0,XXXX,35,E,H,M,3,L,F,B,T,1
DRK,other,40504,A,0,XXXX,11,E,H,F,3,L,F,B,S,1
USB,other,35976,A,0,XXXX,36,,U,M,0,L,F,C,T,2
ANN,other,70116,A,0,XXXX,1,E,H,F,3,L,F,B,U,1
AGR,FL,32804,A,0,XXXX,12,E,H,M,3,L,E,B,S,1
L02,other,55313,A,0,XXXX,49,,U,F,1,L,F,A,R,2
HOS,CA,90804,A,0,XXXX,9,I,H,F,3,L,F,A,U,3
ARG,other,35640-,A,0,XXXX,36,I,U,F,0,L,F,C,T,2
LIS,NC,28092,A,0,XXXX,36,E,H,F,3,L,D,B,T,2
MCC,CA,90278,A,0,XXXX,3,E,H,M,3,L,G,A,U,1
LIS,other,70663,A,0,XXXX,39,I,H,M,3,L,E,C,T,2
IMP,CA,94089,A,0,XXXX,29,E,H,F,2,L,G,A,C,2
ESN,other,71902,B,0,XXXX,41,,U,F,0,L,G,C,T,3
ARG,other,66048,A,0,XXXX,35,E,H,M,3,L,F,B,T,1
MON,other,66215,A,0,XXXX,12,,H,F,3,L,E,B,S,1
HER,WI,54667,A,0,XXXX,45,E,U,F,3,L,E,D,R,2
MBC,GA,31709,A,0,XXXX,36,E,H,F,2,L,G,D,T,2
LIS,other,35950,A,0,XXXX,41,E,H,M,3,L,G,C,T,3
APP,WI,54484,A,0,XXXX,49,E,H,F,3,L,F,C,R,2
L17,other,74574,A,0,XXXX,51,,U,F,0,L,D,D,R,3
FOR,MO,63116,A,0,XXXX,28,E,H,M,2,L,E,A,C,2
MBC,GA,30316,A,0,XXXX,21,,H,F,2,L,F,A,S,3
SHE,MI,49428,A,0,XXXX,37,E,H,F,2,L,E,B,T,2
L04,other,55422,A,0,XXXX,26,E,H,F,2,L,F,A,C,2
CFI,other,80906,A,0,XXXX,39,E,U,F,3,L,F,B,T,2
ARG,IN,47025,A,0,XXXX,42,,U,M,0,L,G,B,R,1
L04,GA,30907,A,0,XXXX,39,,U,F,0,L,D,B,T,2
SYN,NC,27511,A,0,XXXX,12,E,H,F,3,L,D,B,S,1
LHJ,NC,28054,A,0,XXXX,22,E,H,F,3,L,G,B,C,1
CFI,WA,98604,A,0,XXXX,40,E,U,M,3,L,F,B,T,2
CRG,other,66605,A,0,XXXX,30,E,H,F,3,L,E,C,C,3
